timestamp,msg_type,time,latitude,longitude,altitude,fix,satellites,fix_state,age_of_correction,course_over_ground_degrees,course_over_ground_degrees_magnetic,speed_kmh,mode,position_diluition_precision,horizontal_diluition_precision,vertical_diluition_precision,heading_valid,heading_vehicle,heading_motion,heading_accuracy_estimate,speed_accuracy,
1648476971.539851904,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.587512970,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.072000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.588253021,GGA,141611.55,46.260258500,11.187949700,244.400000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.588781118,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.589246988,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.589656115,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.637339115,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.026000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.637865067,GGA,141611.60,46.260258500,11.187949800,244.400000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.638326883,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.638885021,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.639695883,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.688621998,VTG,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.055000000,,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.689168930,GGA,141611.65,46.260258600,11.187949800,244.400000000,1,12,GPS SPS MODE FIX VALID,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.660000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.689708948,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.690355062,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
1648476971.691154003,GSA,,0.000000000,0.000000000,0.000000000,0,0,,0.000000000,0.000000000,0.000000000,0.000000000,3D,1.220000000,0.660000000,1.030000000,0,0.000000000,0.000000000,0.000000000,0.000000000,
